"COMMUNE";"DCLT";"CS1";"AGEREVQ";"IPONDI"
"61001";"61001";"5";"30";2.74721145185593
"61001";"61001";"6";"20";2.94056115235671
"61001";"61001";"3";"50";2.86590778865601
"61001";"61001";"2";"40";0.96949566336248
"61001";"61001";"4";"55";1.02689158001402
"61001";"61001";"6";"35";3.04044076601184
"61001";"61001";"5";"30";2.76592098484884
"61001";"61001";"5";"40";3.03257620202879
"61001";"61001";"4";"25";1.04433563392852
"61001";"61001";"5";"25";2.63362775372432
"61001";"61001";"4";"60";3.02026935298241
"61001";"61001";"6";"50";0.96627569258964
"61001";"61001";"3";"50";2.95950270254334
"61001";"61001";"5";"30";3.09249396613226
"61001";"61001";"5";"25";1.00115748566036
"61001";"61001";"5";"50";3.01103301562991
"61001";"61001";"4";"25";3.06738234407392
"61001";"61001";"3";"45";2.77659674050597
"61001";"61001";"3";"30";3.08714080975496
"61001";"61001";"5";"25";0.78632370924186
"61001";"61001";"5";"35";3.12016212077807
"61001";"61001";"5";"55";2.70132342206569
"61001";"61001";"6";"15";4.00002992144827
"61001";"61001";"3";"60";2.83810769513598
"61001";"61001";"6";"25";2.85638929397278
"61001";"61001";"6";"25";2.8926553755145
"61001";"61001";"6";"20";3.03257620202879
"61001";"61001";"3";"50";4.00002992144827
"61001";"61001";"3";"45";2.85145783341905
"61001";"61001";"5";"30";1.00115748566036
"61001";"61001";"3";"45";2.95257662155114
"61001";"61001";"3";"50";2.55033870566591
"61001";"61001";"5";"35";2.63362775372432
"61001";"61001";"4";"40";2.95257662155114
"61001";"61001";"5";"50";2.77659674050597
"61001";"61001";"6";"20";2.82962655686314
"61001";"61001";"5";"55";2.79415068638356
"61001";"61001";"3";"55";3.02026935298241
"61001";"61001";"4";"55";2.7089792662193
"61001";"61001";"5";"25";3.10019231052909
"61001";"61001";"4";"30";3.06738234407392
"61001";"61001";"6";"55";2.94458084017754
"61001";"61001";"5";"50";2.84756526909607
"61001";"61001";"3";"35";2.99176165867857
"61001";"61001";"4";"25";3.12016212077807
"61001";"61001";"4";"45";1.00115748566036
"61001";"61001";"5";"75";1.02689158001402
"61001";"61001";"3";"50";2.80346178011599
"61001";"61001";"4";"60";3.02026935298241
"61001";"61001";"5";"50";3.10443021092537
"61001";"61001";"2";"30";1.00000748036207
"61001";"61001";"2";"40";1.00000748036207
"61001";"61001";"3";"60";2.94458084017754
"61001";"61001";"4";"35";2.98153154433394
"61001";"61001";"6";"15";3.05217609861379
"61001";"61001";"5";"60";3.03557477200094
"61001";"61001";"5";"40";2.95661273427615
"61001";"61001";"5";"50";2.94056115235671
"61001";"61001";"4";"50";2.74721145185593
"61001";"61001";"6";"20";3.03257620202879
"61001";"61001";"4";"45";2.74721145185593
"61001";"61001";"3";"40";1.0298019023527
"61001";"61001";"3";"50";4.00002992144827
"61001";"61001";"6";"45";2.82962655686314
"61001";"61001";"5";"35";2.63362775372432
"61001";"61001";"2";"50";2.98153154433394
"61001";"61001";"2";"55";3.03557477200094
"61001";"61001";"4";"35";2.86590778865601
"61001";"61001";"5";"55";2.7089792662193
"61001";"61001";"5";"30";2.80346178011599
"61001";"61001";"5";"35";2.97159556907826
"61001";"61001";"6";"40";3.01103301562991
"61001";"61001";"5";"40";0.96949566336248
"61001";"61001";"4";"50";2.84756526909607
"61001";"61001";"5";"40";3.02843639052873
"61001";"61001";"2";"45";3.09249396613226
"61001";"61001";"3";"40";0.96949566336248
"61001";"61001";"3";"25";2.96943184553046
"61001";"61001";"2";"25";2.96943184553046
"61001";"61001";"6";"50";2.84198733114599
"61001";"61001";"5";"25";3.07157539390742
"61001";"61001";"4";"20";0.96627569258964
"61001";"61001";"5";"50";1.02689158001402
"61001";"61001";"6";"50";4.00002992144827
"61001";"61001";"4";"55";3.09249396613226
"61001";"61001";"3";"45";2.6443890579465
"61001";"61001";"5";"50";2.6443890579465
"61001";"61001";"5";"15";3.01614634173132
"61001";"61001";"5";"40";2.86590778865601
"61001";"61001";"4";"40";1.02689158001402
"61001";"61001";"5";"50";1.0298019023527
"61001";"61001";"6";"30";2.85638929397278
"61001";"61001";"6";"20";3.02026935298241
"61001";"61001";"4";"30";3.02882912456677
"61001";"61001";"6";"40";2.67948399253979
"61001";"61001";"5";"45";2.89501733013577
"61001";"61001";"5";"40";1.0298019023527
"61001";"61001";"5";"20";2.63362775372432
"61001";"61001";"4";"40";3.10816538825797
"61001";"61001";"4";"30";3.06738234407392
"61001";"61001";"4";"30";3.07157539390742
"61001";"61001";"5";"60";2.89501733013577
"61001";"61001";"3";"25";2.89501733013577
"61001";"61001";"6";"55";2.84198733114599
"61001";"61001";"4";"50";2.94056115235671
"61001";"61001";"4";"35";3.10019231052909
"61001";"61001";"4";"25";2.99585133655947
"61001";"61001";"5";"25";1.05144794848497
"61001";"61001";"4";"40";3.04044076601184
"61001";"61001";"4";"45";3.09249396613226
"61001";"61001";"5";"50";1.01858945443022
"61001";"61001";"5";"20";2.84198733114599
"61001";"61001";"5";"25";3.04417792080616
"61001";"61001";"4";"55";3.09249396613226
"61001";"61001";"6";"40";2.89501733013577
"61001";"61001";"5";"35";2.80346178011599
"61001";"61001";"5";"50";2.77659674050597
"61001";"61001";"4";"30";2.94458084017754
"61001";"61001";"4";"50";2.74721145185593
"61001";"61001";"4";"50";1.04433563392852
"61001";"61001";"3";"25";2.6443890579465
"61001";"61001";"5";"20";0.96627569258964
"61001";"61001";"5";"50";2.6443890579465
"61001";"61001";"4";"50";2.98153154433394
"61001";"61001";"5";"45";2.85638929397278
"61001";"61001";"4";"55";2.31271679188784
"61001";"61001";"6";"50";1.02689158001402
"61001";"61001";"4";"20";2.95950270254334
"61001";"61001";"5";"35";3.08827236006798
"61001";"61001";"6";"35";2.99585133655947
"61001";"61001";"6";"20";2.54186830563894
"61001";"61001";"5";"25";2.63362775372432
"61001";"61001";"6";"50";2.85145783341905
"61001";"61001";"2";"40";1.0298019023527
"61001";"61001";"3";"55";2.7089792662193
"61001";"61001";"6";"25";3.10443021092537
"61001";"61001";"4";"55";2.94056115235671
"61001";"61001";"5";"25";2.6443890579465
"61001";"61001";"5";"45";3.12016212077807
"61001";"61001";"4";"20";2.55033870566591
"61001";"61001";"5";"55";3.01614634173132
"61001";"61001";"4";"50";2.95661273427615
"61001";"61001";"4";"30";2.54186830563894
"61001";"61001";"5";"45";2.74721145185593
"61001";"61001";"6";"35";2.82962655686314
"61001";"61001";"6";"55";2.30955967037345
"61001";"61001";"3";"25";3.03557477200094
"61001";"61001";"4";"45";3.05217609861379
"61001";"61001";"6";"30";2.82962655686314
"61001";"61001";"5";"45";2.97159556907826
"61001";"61001";"4";"45";3.03257620202879
"61001";"61001";"4";"20";0.96949566336248
"61001";"61001";"4";"55";2.55033870566591
"61001";"61001";"4";"40";2.70132342206569
"61001";"61001";"5";"50";1.0298019023527
"61001";"61001";"4";"30";1.04433563392852
"61001";"61001";"5";"25";2.55033870566591
"61001";"61001";"5";"20";0.97854398988832
"61001";"61001";"3";"50";3.01987429750594
"61001";"61001";"5";"55";2.74721145185593
"61001";"61001";"3";"25";4.00002992144827
"61001";"61001";"5";"40";3.08827236006798
"61001";"61001";"6";"30";2.98153154433394
"61001";"61001";"4";"30";2.97159556907826
"61001";"61001";"5";"25";2.54186830563894
"61001";"61001";"3";"40";2.55033870566591
"61001";"61001";"3";"35";2.86590778865601
"61001";"61001";"4";"20";3.08827236006798
"61001";"61001";"2";"55";3.01103301562991
"61001";"61001";"3";"35";1.0298019023527
"61001";"61001";"3";"40";2.80346178011599
"61001";"61001";"4";"45";3.01987429750594
"61001";"61001";"4";"15";2.55033870566591
"61001";"61001";"5";"35";3.08827236006798
"61001";"61001";"3";"35";2.90684670206354
"61001";"61001";"6";"50";3.10816538825797
"61001";"61001";"5";"55";1.01858945443022
"61001";"61001";"6";"30";2.70132342206569
"61001";"61001";"4";"50";3.08714080975496
"61001";"61001";"4";"60";2.89501733013577
"61001";"61001";"4";"50";2.63362775372432
"61001";"61001";"6";"55";2.98153154433394
"61001";"61001";"2";"30";1.00000748036207
"61001";"61001";"6";"15";1.00000748036207
"61001";"61001";"5";"15";4.00002992144827
"61001";"61001";"5";"35";2.76592098484884
"61001";"61001";"4";"50";2.7089792662193
"61001";"61001";"5";"20";2.79415068638356
"61001";"61001";"5";"25";3.01614634173132
"61001";"61001";"5";"35";3.06738234407392
"61001";"61001";"4";"20";2.94458084017754
"61001";"61001";"3";"55";2.95661273427615
"61001";"61001";"3";"50";2.76592098484884
"61001";"61001";"6";"35";2.57414107862375
"61001";"61001";"5";"25";2.95257662155114
"61001";"61001";"6";"35";2.89501733013577
"61001";"61001";"5";"40";2.54186830563894
"61001";"61001";"5";"30";2.94542483585784
"61001";"61001";"4";"50";3.08714080975496
"61001";"61001";"5";"55";3.03257620202879
"61001";"61001";"4";"55";2.85145783341905
"61001";"61001";"4";"25";2.84756526909607
"61001";"61001";"6";"25";2.89501733013577
"61001";"61001";"3";"45";3.01614634173132
"61001";"61001";"6";"25";2.06848969690804
"61001";"61001";"5";"55";3.02843639052873
"61001";"61001";"4";"30";2.95257662155114
"61001";"61001";"5";"40";2.84198733114599
"61001";"61001";"4";"30";3.01614634173132
"61001";"61001";"5";"30";2.32443664049541
"61001";"61001";"5";"35";3.04417792080616
"61001";"61001";"5";"50";3.09249396613226
"61001";"61001";"3";"35";1.04433563392852
"61001";"61001";"3";"40";3.02026935298241
"61001";"61001";"6";"40";3.02843639052873
"61001";"61001";"4";"50";3.01614634173132
"61001";"61001";"6";"35";1.04433563392852
"61001";"61001";"5";"45";3.03557477200094
"61001";"61001";"2";"20";1.00000748036207
"61001";"61001";"5";"25";2.06848969690804
"61001";"61001";"4";"45";2.67948399253979
"61001";"61001";"2";"55";2.57414107862375
"61001";"61001";"6";"20";2.77659674050597
"61001";"61001";"6";"25";3.08827236006798
"61001";"61001";"6";"40";2.98153154433394
"61001";"61001";"4";"20";1.03107590868979
"61001";"61001";"5";"50";3.06738234407392
"61001";"61001";"5";"40";2.95950270254334
"61001";"61001";"3";"25";3.08827236006798
"61001";"61001";"2";"35";2.94056115235671
"61001";"61001";"3";"60";2.95950270254334
"61001";"61001";"5";"50";0.96627569258964
"61001";"61001";"5";"40";4.00002992144827
"61001";"61001";"3";"30";3.01614634173132
"61001";"61001";"5";"25";2.87414166477491
"61001";"61001";"3";"55";2.70132342206569
"61001";"61001";"4";"40";2.84756526909607
"61001";"61001";"6";"15";1.01858945443022
"61001";"61001";"3";"45";2.85145783341905
"61001";"61001";"6";"25";3.03557477200094
"61001";"61001";"6";"40";3.01103301562991
"61001";"61001";"6";"20";3.08827236006798
"61001";"61001";"2";"60";2.94056115235671
"61001";"61001";"3";"30";0.96949566336248
"61001";"61001";"5";"30";1.0298019023527
"61001";"61001";"3";"50";2.94458084017754
"61001";"61001";"3";"20";3.06738234407392
"61001";"61001";"4";"55";3.01987429750594
"61001";"61001";"4";"45";1.04433563392852
"61001";"61001";"6";"60";3.02843639052873
"61001";"61001";"5";"15";0.96627569258964
"61001";"61001";"6";"55";2.89501733013577
"61001";"61001";"4";"20";2.86590778865601
"61001";"61001";"6";"25";2.7089792662193
"61001";"61001";"5";"50";2.97784753809376
"61001";"61001";"6";"20";3.06738234407392
"61001";"61001";"3";"55";2.95661273427615
"61001";"61001";"3";"60";2.80346178011599
"61001";"61001";"5";"50";2.55033870566591
"61001";"61001";"4";"25";2.71233064549362
"61001";"61001";"3";"45";3.02882912456677
"61001";"61001";"5";"45";1.01858945443022
"61001";"61001";"5";"50";3.10443021092537
"61001";"61001";"3";"55";2.74721145185593
"61001";"61001";"5";"25";2.95950270254334
"61001";"61001";"5";"30";3.03257620202879
"61001";"61001";"5";"45";2.87807055849506
"61001";"61001";"3";"45";3.07157539390742
"61001";"61001";"4";"25";3.09249396613226
"61001";"61001";"5";"60";2.80346178011599
"61001";"61001";"5";"40";2.83810769513598
"61001";"61001";"5";"50";2.86590778865601
"61001";"61001";"5";"20";3.04044076601184
"61001";"61001";"5";"50";3.10443021092537
"61001";"61001";"4";"30";1.0298019023527
"61001";"61001";"6";"15";2.79415068638356
"61001";"61001";"5";"50";3.07157539390742
"61001";"61001";"5";"25";3.04417792080616
"61001";"61001";"3";"55";3.07157539390742
"61001";"61001";"2";"35";0.96627569258964
"61001";"61001";"4";"30";1.0298019023527
"61001";"61001";"3";"55";3.04044076601184
"61001";"61001";"5";"30";3.04044076601184
"61001";"61001";"6";"25";2.96943184553046
"61001";"61001";"5";"20";3.10019231052909
"61001";"61001";"4";"40";3.02026935298241
"61001";"61001";"4";"50";3.10443021092537
"61001";"61001";"6";"40";2.98153154433394
"61001";"61001";"5";"25";2.87807055849506
"61001";"61001";"4";"30";3.04417792080616
"61001";"61001";"4";"35";2.97784753809376
"61001";"61001";"3";"30";2.97159556907826
"61001";"61001";"2";"25";2.82962655686314
"61001";"61001";"6";"25";2.80346178011599
"61001";"61001";"5";"20";2.84756526909607
"61001";"61001";"5";"55";2.94056115235671
"61001";"61001";"5";"50";0.96627569258964
"61001";"61001";"6";"25";4.00002992144827
"61001";"61001";"6";"20";3.03257620202879
"61001";"61001";"6";"25";2.74721145185593
"61001";"61001";"6";"60";3.01103301562991
"61001";"61001";"5";"55";3.02469442825371
"61001";"61001";"5";"40";2.87414166477491
"61001";"61001";"3";"45";1.00115748566036
"61001";"61001";"4";"45";3.04044076601184
"61001";"61001";"4";"25";3.10443021092537
"61001";"61001";"3";"35";1.0298019023527
"61001";"61001";"5";"20";2.86590778865601
"61001";"61001";"5";"20";1.0298019023527
"61001";"61001";"3";"30";2.74721145185593
"61001";"61001";"6";"40";3.04417792080616
"61001";"61001";"5";"45";1.04433563392852
"61001";"61001";"6";"55";3.09249396613226
"61001";"61001";"6";"40";2.83810769513598
"61001";"61001";"5";"25";3.09249396613226
"61001";"61001";"3";"65";3.10019231052909
"61001";"61001";"4";"25";2.80346178011599
"61001";"61001";"4";"20";1.0298019023527
"61001";"61001";"5";"35";3.03257620202879
"61001";"61001";"3";"55";3.07157539390742
"61001";"61001";"4";"50";1.0298019023527
"61001";"61001";"2";"55";2.86590778865601
"61001";"61001";"5";"20";3.01987429750594
"61001";"61001";"3";"50";1.04433563392852
"61001";"61001";"5";"55";2.98153154433394
"61001";"61001";"3";"50";2.80346178011599
"61001";"61001";"3";"55";3.08714080975496
"61001";"61001";"5";"50";3.08827236006798
"61001";"61001";"4";"30";3.09249396613226
"61001";"61001";"4";"50";2.8926553755145
"61001";"61001";"4";"20";2.94056115235671
"61001";"61001";"5";"45";2.74721145185593
"61001";"61001";"4";"25";1.0298019023527
"61001";"61001";"4";"60";3.07157539390742
"61001";"61001";"6";"25";2.95661273427615
"61001";"61001";"6";"30";3.10816538825797
"61001";"61001";"6";"40";0.96627569258964
"61001";"61001";"5";"30";2.95257662155114
"61001";"61001";"6";"35";1.0298019023527
"61001";"61001";"4";"55";3.01987429750594
"61001";"61001";"6";"25";2.85638929397278
"61001";"61001";"4";"55";2.55033870566591
"61001";"61001";"4";"35";2.85145783341905
"61001";"61001";"4";"45";2.87807055849506
"61001";"61001";"5";"40";2.85145783341905
"61001";"61001";"4";"40";2.98153154433394
"61001";"61001";"4";"25";2.94542483585784
"61001";"61001";"6";"50";2.83810769513598
"61001";"61001";"4";"45";2.98153154433394
"61001";"61001";"4";"50";3.03257620202879
"61001";"61001";"5";"30";2.85145783341905
"61001";"61001";"5";"60";2.70132342206569
"61001";"61001";"4";"30";2.84756526909607
"61001";"61001";"4";"35";1.01858945443022
"61001";"61001";"5";"45";2.77659674050597
"61001";"61001";"5";"40";1.0298019023527
"61001";"61001";"4";"45";3.03557477200094
"61001";"61001";"5";"55";2.94542483585784
"61001";"61001";"4";"50";3.02469442825371
"61001";"61001";"4";"35";2.63362775372432
"61001";"61001";"5";"20";0.96949566336248
"61001";"61001";"3";"40";0.96627569258964
"61001";"61001";"6";"20";3.02026935298241
"61001";"61001";"5";"45";3.07157539390742
"61001";"61001";"6";"55";3.03557477200094
"61001";"61001";"4";"35";3.04044076601184
"61001";"61001";"5";"50";2.83810769513598
"61001";"61001";"4";"20";2.95257662155114
"61001";"61001";"4";"30";1.04433563392852
"61001";"61001";"6";"35";3.01103301562991
"61001";"61001";"3";"30";3.08714080975496
"61001";"61001";"5";"40";2.6443890579465
"61001";"61001";"3";"50";1.0298019023527
"61001";"61001";"3";"25";2.99176165867857
"61001";"61001";"6";"25";3.10443021092537
"61001";"61001";"5";"20";0.96949566336248
"61001";"61001";"4";"40";2.85638929397278
"61001";"61001";"3";"55";2.7089792662193
"61001";"61001";"5";"45";3.02882912456677
"61001";"61001";"4";"20";0.96627569258964
"61001";"61001";"4";"40";3.07157539390742
"61001";"61001";"5";"50";2.6443890579465
"61001";"61001";"5";"55";3.10019231052909
"61001";"61001";"6";"40";3.0479439868364
"61001";"61001";"4";"25";2.55033870566591
"61001";"61001";"2";"40";2.63362775372432
"61001";"61001";"5";"25";3.07157539390742
"61001";"61001";"4";"30";3.0479439868364
"61001";"61001";"4";"45";2.63362775372432
"61001";"61001";"5";"50";3.02843639052873
"61001";"61001";"4";"25";2.8926553755145
"61001";"61001";"6";"25";2.94542483585784
"61001";"61001";"6";"25";2.97159556907826
"61001";"61001";"5";"25";3.01987429750594
"61001";"61001";"3";"45";2.89501733013577
"61001";"61001";"6";"55";3.12016212077807
"61001";"61001";"3";"40";3.07157539390742
"61001";"61001";"4";"40";2.90684670206354
"61001";"61001";"5";"55";2.54186830563894
"61001";"61001";"3";"50";2.76592098484884
"61001";"61001";"6";"30";2.77659674050597
"61001";"61001";"5";"50";2.76592098484884
"61001";"61001";"5";"30";2.89501733013577
"61001";"61001";"6";"20";2.67948399253979
"61001";"61001";"6";"35";2.54186830563894
"61001";"61001";"2";"60";3.01614634173132
"61001";"61001";"4";"35";2.95950270254334
"61001";"61001";"5";"40";3.04417792080616
"61001";"61001";"6";"45";2.79415068638356
"61001";"61001";"5";"20";2.6443890579465
"61001";"61001";"5";"60";0.96627569258964
"61001";"61001";"2";"60";2.6443890579465
"61001";"61001";"3";"55";3.02026935298241
"61001";"61001";"3";"60";2.97159556907826
"61001";"61001";"4";"35";3.02026935298241
"61001";"61001";"6";"50";2.7089792662193
"61001";"61001";"4";"25";3.10816538825797
"61001";"61001";"2";"35";2.94056115235671
"61001";"61001";"3";"25";1.00115748566036
"61001";"61001";"3";"70";3.03257620202879
"61001";"61001";"4";"55";2.74721145185593
"61001";"61001";"2";"35";2.85145783341905
"61001";"61001";"3";"45";3.10816538825797
"61001";"61001";"5";"35";2.7089792662193
"61001";"61001";"6";"15";1.05144794848497
"61001";"61001";"5";"55";3.10816538825797
"61001";"61001";"4";"55";3.07157539390742
"61001";"61001";"6";"20";1.00115748566036
"61001";"61001";"4";"50";3.10443021092537
"61001";"61001";"3";"45";2.95950270254334
"61001";"61001";"4";"50";3.09249396613226
"61001";"61001";"6";"45";2.54186830563894
"61001";"61001";"4";"30";1.04433563392852
"61001";"61001";"3";"55";2.6443890579465
"61001";"61001";"3";"30";2.95661273427615
"61001";"61001";"4";"35";2.94056115235671
"61001";"61001";"5";"45";2.82962655686314
"61001";"61001";"6";"35";2.84198733114599
"61001";"61001";"3";"40";3.10443021092537
"61001";"61001";"5";"35";2.67948399253979
"61001";"61001";"2";"55";1.00000748036207
"61001";"61001";"5";"50";2.94056115235671
"61001";"61001";"4";"40";2.97784753809376
"61001";"61001";"5";"55";2.70132342206569
"61001";"61001";"2";"50";3.04417792080616
"61001";"61001";"4";"45";2.97159556907826
"61001";"61001";"6";"45";1.01858945443022
"61001";"61001";"6";"35";2.7089792662193
"61001";"61001";"4";"40";1.02689158001402
"61001";"61001";"2";"60";3.01614634173132
